bar,equity
0,10000.0
1,9799.92
2,9830.916484
3,9673.543173
4,9702.56056
5,9714.843988
6,9744.731382
7,9757.204276
8,9786.689471
9,10223.993747
10,10255.574378
11,10091.403144
12,9889.49435
13,9919.249991
14,9760.462638
15,9791.501405
16,10245.917219
17,10040.916907
18,10072.901762
19,9911.654751
20,9713.342364
21,9742.800437
22,10179.297312
23,10210.062999
24,10666.339535
25,10452.927416
